date,invoice_id,customer_name,gstin,pan,amount,tds_deducted,payment_mode,reference,notes
2025-01-03,INV-1001,Rajesh Kumar,27AAACB2894G1ZJ,AAPPK1234A,1899.50,0,UPI,TXNUPI001,Mobile accessories
2025-01-03,INV-1002,Priya Sharma,07AAACB2894G1Z5,ABCPR2345Q,529.00,0,CASH,CA-48392,Snacks & beverages
2025-01-04,INV-1003,Sneha Traders,27AABCU9603R1ZV,AAAAA0000A,15499.00,0,CARD,POS829103,Electronics purchase
2025-01-04,INV-1004,Vikram Singh,07ABCDE1234F1Z2,ABCDE1234F,299.00,0,UPI,TXNUPI002,Stationery
2025-01-05,INV-1005,Anita Verma,29AAACB2894G1ZB,AATPV7654F,999.00,0,CASH,CA-48395,Groceries
2025-01-05,INV-1006,Anita Verma,29AAACB2894G1ZB,AATPV7654F,999.00,0,CASH,CA-48395-DUP,Duplicate test
2025-01-06,INV-1007,Global Corp,27AAACG1234M1Z1,AAACG1234M,45999.00,0,NEFT,UTR928374,Office chairs
2025-01-06,INV-1008,Manoj Enterprises,07AAHCM1111R1Z8,AAHCM1111R,1499.00,0,CARD,POS829125,Printer ink
2025-01-07,INV-1009,Neha Kapoor,INVALIDGSTIN,AKDPK5555L,799.00,0,UPI,TXNUPI009,Invalid GST for test
2025-01-07,INV-1010,Sunita Rao,27AAACB2894G1ZJ,AAAAA1111A,250000.00,0,CASH,CA-99999,Above cash limit test
2025-01-08,INV-1011,Rahul Gupta,09AAACB2894G1ZQ,AQEPG3333Q,1249.00,0,UPI,TXNUPI011,Headphones
2025-01-08,INV-1012,Quick Retail,27AAACB2894G1ZJ,AAAAQ2222Z,2599.00,0,CARD,POS829199,Small appliances
2025-01-09,INV-1013,Asha Nair,32AAACB2894G1ZK,ASMAN4567D,349.00,0,CASH,CA-48411,Personal care
2025-01-10,INV-1014,Nitin Jain,07AAACB2894G1Z5,NNJJJ7777N,899.00,0,UPI,TXNUPI014,Chargers
2025-01-10,INV-1015,Kavita Singh,27AAACB2894G1ZJ,KVTSN8888V,149.00,0,CASH,CA-48420,Pen & diary
